Time,Demand,temperature_2m,relative_humidity_2m,precipitation,wind_speed_10m,cloud_cover,hour,dow,month,doy,is_weekend,hour_sin,hour_cos,dow_sin,dow_cos,month_sin,month_cos,doy_sin,doy_cos,is_holiday,demand_lag_24,demand_lag_48,demand_lag_72,demand_lag_168,demand_roll24_mean,demand_roll24_std,demand_roll168_mean,demand_roll168_std,temperature_2m_lag_24,relative_humidity_2m_lag_24,precipitation_lag_24,temp_squared,temp_hour_sin,temp_hour_cos,humidex_proxy,trend_ratio,lag24_over_lag168
2026-06-17 09:00:00,464.7440351,31.3,75,0.0,13.8,97,9,2,6,168,0,0.7071067811865476,-0.7071067811865475,0.9749279121818236,-0.22252093395631434,1.2246467991473532e-16,-1.0,0.2546711202412288,-0.9670277247913204,0,435.9168421,452.2815789,429.02,409.3887931,461.41766402916664,19.780811716514943,438.7724315342262,43.23694661236777,30.8,78.0,0.0,979.69,22.13244225113894,-22.132442251138936,38.8,1.051610426880646,1.0647991577862272
2026-06-17 10:00:00,466.1310526,32.1,72,0.0,12.7,49,10,2,6,168,0,0.49999999999999994,-0.8660254037844387,0.9749279121818236,-0.22252093395631434,1.2246467991473532e-16,-1.0,0.2546711202412288,-0.9670277247913204,0,458.4817544,474.9914035,447.0267241,425.0441379,462.61879707083335,19.02583976459355,439.1019270223215,43.22260233777857,31.6,76.0,0.0,1030.41,16.049999999999997,-27.799415461480482,39.300000000000004,1.0535567452595498,1.0786685746689837
2026-06-17 11:00:00,482.3656897,33.5,68,0.0,10.5,24,11,2,6,168,0,0.258819045102521,-0.9659258262890682,0.9749279121818236,-0.22252093395631434,1.2246467991473532e-16,-1.0,0.2546711202412288,-0.9670277247913204,0,468.2426316,507.3051786,467.2393103,447.2098276,462.93751782916667,19.01759155638084,439.3464919907738,43.25880850388765,32.8,72.0,0.0,1122.25,8.670438010934454,-32.35851518068378,40.3,1.053695719138434,1.0470311757522746
2026-06-17 12:00:00,487.0191228,34.0,64,0.1,8.5,30,12,2,6,168,0,1.2246467991473532e-16,-1.0,0.9749279121818236,-0.22252093395631434,1.2246467991473532e-16,-1.0,0.2546711202412288,-0.9670277247913204,0,481.3054386,503.565,500.5437931,475.835,463.52597858333337,19.40347447889607,439.55575307470247,43.381931189378044,32.0,71.0,0.0,1156.0,4.1637991171010006e-15,-34.0,40.4,1.0545328444479651,1.0114965031996386
2026-06-17 13:00:00,519.6554386,34.6,62,0.1,6.3,31,13,2,6,168,0,-0.2588190451025208,-0.9659258262890683,0.9749279121818236,-0.22252093395631434,1.2246467991473532e-16,-1.0,0.2546711202412288,-0.9670277247913204,0,479.0167857,542.7672222,509.3327586,485.4174138,463.76404875833333,19.664400931109164,439.6223252342262,43.446470569650316,32.3,72.0,0.1,1197.16,-8.95513896054722,-33.42103358960176,40.800000000000004,1.0549146895832568,0.9868141769989381
2026-06-17 14:00:00,513.7968421,34.4,61,0.0,7.1,88,14,2,6,168,0,-0.4999999999999997,-0.8660254037844388,0.9749279121818236,-0.22252093395631434,1.2246467991473532e-16,-1.0,0.2546711202412288,-0.9670277247913204,0,489.7105357,528.7274074,496.8918966,467.992069,465.45732596249997,22.569918650220323,439.8261230008929,43.74186876660296,33.3,67.0,0.2,1183.36,-17.19999999999999,-29.791273890184694,40.5,1.0582757631282285,1.0464077665811895
2026-06-17 15:00:00,512.1821053,32.7,67,0.6,11.0,61,15,2,6,168,0,-0.7071067811865471,-0.7071067811865479,0.9749279121818236,-0.22252093395631434,1.2246467991473532e-16,-1.0,0.2546711202412288,-0.9670277247913204,0,477.4258929,524.062037,478.8626316,453.292931,466.4609220625,24.173778424110534,440.0987704598215,44.0600766447739,33.8,65.0,0.0,1069.2900000000002,-23.122391744800094,-23.12239174480012,39.400000000000006,1.05990053454395,1.0532392196074198
2026-06-17 16:00:00,513.6829825,32.5,70,0.3,6.7,41,16,2,6,168,0,-0.8660254037844384,-0.5000000000000004,0.9749279121818236,-0.22252093395631434,1.2246467991473532e-16,-1.0,0.2546711202412288,-0.9670277247913204,0,463.9823214,497.9162963,499.4608772,428.2891379,467.90909757916666,25.84267524781582,440.4493012592262,44.39862758361441,33.4,66.0,0.1,1056.25,-28.14582562299425,-16.250000000000014,39.5,1.062344965110477,1.0833389884109876
2026-06-17 17:00:00,506.8824561,30.1,81,1.2,13.6,66,17,2,6,168,0,-0.9659258262890683,-0.25881904510252063,0.9749279121818236,-0.22252093395631434,1.2246467991473532e-16,-1.0,0.2546711202412288,-0.9670277247913204,0,458.8830357,457.1516667,494.0059649,409.69905170000004,469.9799584583334,27.455350857280866,440.9575979532738,44.746034181128586,30.2,79.0,0.8,906.0100000000001,-29.07436737130096,-7.790453257585871,38.2,1.0658166695386773,1.1200490550220132
2026-06-17 18:00:00,483.717193,30.2,79,0.1,15.3,89,18,2,6,168,0,-1.0,-1.8369701987210297e-16,0.9749279121818236,-0.22252093395631434,1.2246467991473532e-16,-1.0,0.2546711202412288,-0.9670277247913204,0,456.8601786,425.9690741,474.7740351,391.1089655,471.9799343083334,28.34566882174075,441.5360705985119,44.96714950516716,31.8,70.0,0.1,912.04,-30.2,-5.54765000013751e-15,38.1,1.0689498904779267,1.1681148193980737
