Time,Demand
2026-04-18 09:00:00 AM,434.6875862
2026-04-18 10:00:00 AM,449.3155172
2026-04-18 11:00:00 AM,478.2458621
2026-04-18 12:00:00 PM,503.8294828
2026-04-18 01:00:00 PM,525.7713793
2026-04-18 02:00:00 PM,518.1624138
2026-04-18 03:00:00 PM,493.0019298
2026-04-18 04:00:00 PM,585.8492982
2026-04-18 05:00:00 PM,463.9263158
2026-04-18 06:00:00 PM,427.8845614
2026-04-18 07:00:00 PM,464.0401754
2026-04-18 08:00:00 PM,461.38
2026-04-18 09:00:00 PM,448.6380702
2026-04-18 10:00:00 PM,398.1551786
2026-04-18 11:00:00 PM,418.2573214
2026-04-19 12:00:00 AM,395.33
2026-04-19 01:00:00 AM,353.06
2026-04-19 02:00:00 AM,338.3853448
2026-04-19 03:00:00 AM,344.42
2026-04-19 04:00:00 AM,347.14
2026-04-19 05:00:00 AM,343.36
2026-04-19 06:00:00 AM,346.06
2026-04-19 07:00:00 AM,350.82
2026-04-19 08:00:00 AM,366.18
2026-04-19 09:00:00 AM,364.9
2026-04-19 10:00:00 AM,396.73
2026-04-19 11:00:00 AM,414.55
2026-04-19 12:00:00 PM,459.51
2026-04-19 01:00:00 PM,461.46
2026-04-19 02:00:00 PM,471.55
2026-04-19 03:00:00 PM,468.88
2026-04-19 04:00:00 PM,450.81
2026-04-19 05:00:00 PM,434.66
2026-04-19 06:00:00 PM,429.45
2026-04-19 07:00:00 PM,463.2
2026-04-19 08:00:00 PM,468.17
2026-04-19 09:00:00 PM,467.01
2026-04-19 10:00:00 PM,445.73
2026-04-19 11:00:00 PM,442.21
2026-04-20 12:00:00 AM,436.63
2026-04-20 01:00:00 AM,410.72
2026-04-20 02:00:00 AM,407.81
2026-04-20 03:00:00 AM,400.74
2026-04-20 04:00:00 AM,386.52
2026-04-20 05:00:00 AM,389.02
2026-04-20 06:00:00 AM,387.0
2026-04-20 07:00:00 AM,398.08
2026-04-20 08:00:00 AM,407.34
2026-04-20 09:00:00 AM,410.47
2026-04-20 10:00:00 AM,437.3
2026-04-20 11:00:00 AM,447.96
2026-04-20 12:00:00 PM,484.09
2026-04-20 01:00:00 PM,501.81
2026-04-20 02:00:00 PM,485.57
2026-04-20 03:00:00 PM,493.2189286
2026-04-20 04:00:00 PM,496.8853571
2026-04-20 05:00:00 PM,467.50125
2026-04-20 06:00:00 PM,434.6508929
2026-04-20 07:00:00 PM,485.3592857
2026-04-20 08:00:00 PM,482.2301786
2026-04-20 09:00:00 PM,490.51125
2026-04-20 10:00:00 PM,494.7670588
2026-04-20 11:00:00 PM,495.2869388
2026-04-21 12:00:00 AM,467.4
2026-04-21 01:00:00 AM,440.2
2026-04-21 02:00:00 AM,427.69
2026-04-21 03:00:00 AM,417.77
2026-04-21 04:00:00 AM,409.46
2026-04-21 05:00:00 AM,399.92
2026-04-21 06:00:00 AM,392.15
2026-04-21 07:00:00 AM,399.31
2026-04-21 08:00:00 AM,412.09
2026-04-21 09:00:00 AM,415.6
2026-04-21 10:00:00 AM,439.39
2026-04-21 11:00:00 AM,456.29
2026-04-21 12:00:00 PM,469.53
2026-04-21 01:00:00 PM,476.29
2026-04-21 02:00:00 PM,474.3
2026-04-21 03:00:00 PM,471.3
2026-04-21 04:00:00 PM,476.29
2026-04-21 05:00:00 PM,470.68
2026-04-21 06:00:00 PM,443.61
2026-04-21 07:00:00 PM,484.87
2026-04-21 08:00:00 PM,484.74
2026-04-21 09:00:00 PM,487.53
2026-04-21 10:00:00 PM,496.9907143
2026-04-21 11:00:00 PM,487.6982143
